Color name,Hex,R,G,B
dark royal blue,#02066f,2,6,111
dark sage,#598556,89,133,86
dark salmon,#c85a53,200,90,83
dark sand,#a88f59,168,143,89
dark sea green,#11875d,17,135,93
dark seafoam,#1fb57a,31,181,122
dark seafoam green,#3eaf76,62,175,118
dark sky blue,#448ee4,68,142,228
dark slate blue,#214761,33,71,97
dark tan,#af884a,175,136,74
dark taupe,#7f684e,127,104,78
dark teal,#014d4e,1,77,78
dark turquoise,#045c5a,4,92,90
dark violet,#34013f,52,1,63
dark yellow,#d5b60a,213,182,10
dark yellow green,#728f02,114,143,2
darkblue,#00008b,0,0,139
darkcyan,#008b8b,0,139,139
darkgoldenrod,#b8860b,184,134,11
darkgray,#a9a9a9,169,169,169
darkgreen,#006400,0,100,0
darkgrey,#a9a9a9,169,169,169
darkish blue,#014182,1,65,130
darkish green,#287c37,40,124,55
darkish pink,#da467d,218,70,125
darkish purple,#751973,117,25,115
darkish red,#a90308,169,3,8
darkkhaki,#bdb76b,189,183,107
darkmagenta,#8b008b,139,0,139
darkolivegreen,#556b2f,85,107,47
darkorange,#ff8c00,255,140,0
darkorchid,#9932cc,153,50,204
darkred,#8b0000,139,0,0
darksalmon,#e9967a,233,150,122
darkseagreen,#8fbc8f,143,188,143
darkslateblue,#483d8b,72,61,139
darkslategray,#2f4f4f,47,79,79
darkslategrey,#2f4f4f,47,79,79
darkturquoise,#00ced1,0,206,209
darkviolet,#9400d3,148,0,211
deep aqua,#08787f,8,120,127
deep blue,#040273,4,2,115
deep brown,#410200,65,2,0
deep green,#02590f,2,89,15
deep lavender,#8d5eb7,141,94,183
deep lilac,#966ebd,150,110,189
deep magenta,#a0025c,160,2,92
deep orange,#dc4d01,220,77,1
deep pink,#cb0162,203,1,98
deep purple,#36013f,54,1,63
deep red,#9a0200,154,2,0
deep rose,#c74767,199,71,103
deep sea blue,#015482,1,84,130
deep sky blue,#0d75f8,13,117,248
deep teal,#00555a,0,85,90
deep turquoise,#017374,1,115,116
deep violet,#490648,73,6,72
deeppink,#ff1493,255,20,147
deepskyblue,#00bfff,0,191,255
denim,#3b638c,59,99,140
denim blue,#3b5b92,59,91,146
desert,#ccad60,204,173,96
diarrhea,#9f8303,159,131,3
dimgray,#696969,105,105,105
dimgrey,#696969,105,105,105
dirt,#8a6e45,138,110,69
dirt brown,#836539,131,101,57
dirty blue,#3f829d,63,130,157
dirty green,#667e2c,102,126,44
dirty orange,#c87606,200,118,6
dirty pink,#ca7b80,202,123,128
dirty purple,#734a65,115,74,101
dirty yellow,#cdc50a,205,197,10
dodger blue,#3e82fc,62,130,252
dodgerblue,#1e90ff,30,144,255
drab,#828344,130,131,68
drab green,#749551,116,149,81
dried blood,#4b0101,75,1,1
duck egg blue,#c3fbf4,195,251,244
dull blue,#49759c,73,117,156
dull brown,#876e4b,135,110,75
dull green,#74a662,116,166,98
dull orange,#d8863b,216,134,59
dull pink,#d5869d,213,134,157
dull purple,#84597e,132,89,126
dull red,#bb3f3f,187,63,63
dull teal,#5f9e8f,95,158,143
dull yellow,#eedc5b,238,220,91
dusk,#4e5481,78,84,129
dusk blue,#26538d,38,83,141
dusky blue,#475f94,71,95,148
dusky pink,#cc7a8b,204,122,139
dusky purple,#895b7b,137,91,123
dusky rose,#ba6873,186,104,115
dust,#b2996e,178,153,110
dusty blue,#5a86ad,90,134,173
dusty green,#76a973,118,169,115
dusty lavender,#ac86a8,172,134,168
dusty orange,#f0833a,240,131,58
dusty pink,#d58a94,213,138,148
dusty purple,#825f87,130,95,135
dusty red,#b9484e,185,72,78
dusty rose,#c0737a,192,115,122
dusty teal,#4c9085,76,144,133
earth,#a2653e,162,101,62
easter green,#8cfd7e,140,253,126
easter purple,#c071fe,192,113,254
ecru,#feffca,254,255,202
egg shell,#fffcc4,255,252,196
eggplant,#380835,56,8,53
eggplant purple,#430541,67,5,65
eggshell,#ffffd4,255,255,212
eggshell blue,#c4fff7,196,255,247
electric blue,#0652ff,6,82,255
electric green,#21fc0d,33,252,13
electric lime,#a8ff04,168,255,4
electric pink,#ff0490,255,4,144
electric purple,#aa23ff,170,35,255
emerald,#01a049,1,160,73
emerald green,#028f1e,2,143,30
evergreen,#05472a,5,71,42
faded blue,#658cbb,101,140,187
faded green,#7bb274,123,178,116
faded orange,#f0944d,240,148,77
faded pink,#de9dac,222,157,172
faded purple,#916e99,145,110,153
faded red,#d3494e,211,73,78
faded yellow,#feff7f,254,255,127
fawn,#cfaf7b,207,175,123
fern,#63a950,99,169,80
fern green,#548d44,84,141,68
fire engine red,#fe0002,254,0,2
firebrick,#b22222,178,34,34
flat blue,#3c73a8,60,115,168
flat green,#699d4c,105,157,76
floralwhite,#fffaf0,255,250,240
fluorescent green,#08ff08,8,255,8
fluro green,#0aff02,10,255,2
foam green,#90fda9,144,253,169
forest,#0b5509,11,85,9
forest green,#06470c,6,71,12
forestgreen,#228b22,34,139,34
forrest green,#154406,21,68,6
french blue,#436bad,67,107,173
fresh green,#69d84f,105,216,79
frog green,#58bc08,88,188,8
fuchsia,#ff00ff,255,0,255
gainsboro,#dcdcdc,220,220,220
ghostwhite,#f8f8ff,248,248,255
gold,#ffd700,255,215,0
golden,#f5bf03,245,191,3
golden brown,#b27a01,178,122,1
golden rod,#f9bc08,249,188,8
golden yellow,#fec615,254,198,21
goldenrod,#daa520,218,165,32
grape,#6c3461,108,52,97
grape purple,#5d1451,93,20,81
grapefruit,#fd5956,253,89,86
grass,#5cac2d,92,172,45
grass green,#3f9b0b,63,155,11
grassy green,#419c03,65,156,3
gray,#808080,128,128,128
green,#008000,0,128,0
green apple,#5edc1f,94,220,31
green blue,#06b48b,6,180,139
green brown,#544e03,84,78,3
green grey,#77926f,119,146,111
green teal,#0cb577,12,181,119
green yellow,#c9ff27,201,255,39
green/blue,#01c08d,1,192,141
green/yellow,#b5ce08,181,206,8
greenblue,#23c48b,35,196,139
greenish,#40a368,64,163,104
greenish beige,#c9d179,201,209,121
greenish blue,#0b8b87,11,139,135
greenish brown,#696112,105,97,18
greenish cyan,#2afeb7,42,254,183
greenish grey,#96ae8d,150,174,141
greenish tan,#bccb7a,188,203,122
greenish teal,#32bf84,50,191,132
greenish turquoise,#00fbb0,0,251,176
greenish yellow,#cdfd02,205,253,2
greeny blue,#42b395,66,179,149
greeny brown,#696006,105,96,6
greeny grey,#7ea07a,126,160,122
greeny yellow,#c6f808,198,248,8
greenyellow,#adff2f,173,255,47
grey,#808080,128,128,128
grey blue,#6b8ba4,107,139,164
grey brown,#7f7053,127,112,83
grey green,#789b73,120,155,115
grey pink,#c3909b,195,144,155
grey purple,#826d8c,130,109,140
grey teal,#5e9b8a,94,155,138
grey/blue,#647d8e,100,125,142
grey/green,#86a17d,134,161,125
greyblue,#77a1b5,119,161,181
greyish,#a8a495,168,164,149
greyish blue,#5e819d,94,129,157
greyish brown,#7a6a4f,122,106,79
greyish green,#82a67d,130,166,125
greyish pink,#c88d94,200,141,148
greyish purple,#887191,136,113,145
greyish teal,#719f91,113,159,145
gross green,#a0bf16,160,191,22
gunmetal,#536267,83,98,103
hazel,#8e7618,142,118,24
heather,#a484ac,164,132,172
heliotrope,#d94ff5,217,79,245
highlighter green,#1bfc06,27,252,6
honeydew,#f0fff0,240,255,240
hospital green,#9be5aa,155,229,170
hot green,#25ff29,37,255,41
hot magenta,#f504c9,245,4,201
hot pink,#ff028d,255,2,141
hot purple,#cb00f5,203,0,245
hotpink,#ff69b4,255,105,180
hunter green,#0b4008,11,64,8
ice,#d6fffa,214,255,250
ice blue,#d7fffe,215,255,254
icky green,#8fae22,143,174,34
indian red,#850e04,133,14,4
indianred,#cd5c5c,205,92,92
indigo,#4b0082,75,0,130
indigo blue,#3a18b1,58,24,177
iris,#6258c4,98,88,196
irish green,#019529,1,149,41
ivory,#fffff0,255,255,240
jade,#1fa774,31,167,116
jade green,#2baf6a,43,175,106
jungle green,#048243,4,130,67
kelley green,#009337,0,147,55
kelly green,#02ab2e,2,171,46
kermit green,#5cb200,92,178,0
key lime,#aeff6e,174,255,110
khaki,#f0e68c,240,230,140
khaki green,#728639,114,134,57
kiwi,#9cef43,156,239,67
kiwi green,#8ee53f,142,229,63
lavender,#e6e6fa,230,230,250
lavender blue,#8b88f8,139,136,248
lavender pink,#dd85d7,221,133,215
lavenderblush,#fff0f5,255,240,245
lawn green,#4da409,77,164,9
lawngreen,#7cfc00,124,252,0
leaf,#71aa34,113,170,52
leaf green,#5ca904,92,169,4
leafy green,#51b73b,81,183,59
leather,#ac7434,172,116,52
lemon,#fdff52,253,255,82
lemon green,#adf802,173,248,2
lemon lime,#bffe28,191,254,40
lemon yellow,#fdff38,253,255,56
lemonchiffon,#fffacd,255,250,205
lichen,#8fb67b,143,182,123
light aqua,#8cffdb,140,255,219
light aquamarine,#7bfdc7,123,253,199
light beige,#fffeb6,255,254,182
light blue,#95d0fc,149,208,252
light blue green,#7efbb3,126,251,179
light blue grey,#b7c9e2,183,201,226
light bluish green,#76fda8,118,253,168
light bright green,#53fe5c,83,254,92
light brown,#ad8150,173,129,80
light burgundy,#a8415b,168,65,91
light cyan,#acfffc,172,255,252
light eggplant,#894585,137,69,133
light forest green,#4f9153,79,145,83
light gold,#fddc5c,253,220,92
light grass green,#9af764,154,247,100
light green,#96f97b,150,249,123
light green blue,#56fca2,86,252,162
light greenish blue,#63f7b4,99,247,180
light grey,#d8dcd6,216,220,214
light grey blue,#9dbcd4,157,188,212
light grey green,#b7e1a1,183,225,161
light indigo,#6d5acf,109,90,207
light khaki,#e6f2a2,230,242,162
light lavendar,#efc0fe,239,192,254
light lavender,#dfc5fe,223,197,254
light light blue,#cafffb,202,255,251
light light green,#c8ffb0,200,255,176
light lilac,#edc8ff,237,200,255
light lime,#aefd6c,174,253,108
light lime green,#b9ff66,185,255,102
light magenta,#fa5ff7,250,95,247
light maroon,#a24857,162,72,87
light mauve,#c292a1,194,146,161
light mint,#b6ffbb,182,255,187
light mint green,#a6fbb2,166,251,178
light moss green,#a6c875,166,200,117
light mustard,#f7d560,247,213,96
light navy,#155084,21,80,132
light navy blue,#2e5a88,46,90,136
light neon green,#4efd54,78,253,84
light olive,#acbf69,172,191,105
light olive green,#a4be5c,164,190,92
light orange,#fdaa48,253,170,72
light pastel green,#b2fba5,178,251,165
light pea green,#c4fe82,196,254,130
light peach,#ffd8b1,255,216,177
light periwinkle,#c1c6fc,193,198,252
light pink,#ffd1df,255,209,223
light plum,#9d5783,157,87,131
light purple,#bf77f6,191,119,246
light red,#ff474c,255,71,76
light rose,#ffc5cb,255,197,203
light royal blue,#3a2efe,58,46,254
light sage,#bcecac,188,236,172
light salmon,#fea993,254,169,147
light sea green,#98f6b0,152,246,176
light seafoam,#a0febf,160,254,191
light seafoam green,#a7ffb5,167,255,181
light sky blue,#c6fcff,198,252,255
light tan,#fbeeac,251,238,172
light teal,#90e4c1,144,228,193
light turquoise,#7ef4cc,126,244,204
light urple,#b36ff6,179,111,246
light violet,#d6b4fc,214,180,252
light yellow,#fffe7a,255,254,122
light yellow green,#ccfd7f,204,253,127
light yellowish green,#c2ff89,194,255,137
lightblue,#add8e6,173,216,230
lightcoral,#f08080,240,128,128
lightcyan,#e0ffff,224,255,255
lighter green,#75fd63,117,253,99
lighter purple,#a55af4,165,90,244
lightgoldenrodyellow,#fafad2,250,250,210
lightgray,#d3d3d3,211,211,211
lightgreen,#90ee90,144,238,144
lightgrey,#d3d3d3,211,211,211
lightish blue,#3d7afd,61,122,253
lightish green,#61e160,97,225,96
lightish purple,#a552e6,165,82,230
lightish red,#fe2f4a,254,47,74
lightpink,#ffb6c1,255,182,193
lightsalmon,#ffa07a,255,160,122
lightseagreen,#20b2aa,32,178,170
lightskyblue,#87cefa,135,206,250
lightslategray,#778899,119,136,153
lightslategrey,#778899,119,136,153
lightsteelblue,#b0c4de,176,196,222
lightyellow,#ffffe0,255,255,224
lilac,#cea2fd,206,162,253
liliac,#c48efd,196,142,253
lime,#00ff00,0,255,0
lime green,#89fe05,137,254,5
lime yellow,#d0fe1d,208,254,29
limegreen,#32cd32,50,205,50
linen,#faf0e6,250,240,230
lipstick,#d5174e,213,23,78
lipstick red,#c0022f,192,2,47
macaroni and cheese,#efb435,239,180,53
magenta,#ff00ff,255,0,255
mahogany,#4a0100,74,1,0
maize,#f4d054,244,208,84
mango,#ffa62b,255,166,43
manilla,#fffa86,255,250,134
marigold,#fcc006,252,192,6
marine,#042e60,4,46,96
marine blue,#01386a,1,56,106
maroon,#800000,128,0,0
mauve,#ae7181,174,113,129
medium blue,#2c6fbb,44,111,187
medium brown,#7f5112,127,81,18
medium green,#39ad48,57,173,72
medium grey,#7d7f7c,125,127,124
medium pink,#f36196,243,97,150
medium purple,#9e43a2,158,67,162
mediumaquamarine,#66cdaa,102,205,170
mediumblue,#0000cd,0,0,205
mediumorchid,#ba55d3,186,85,211
mediumpurple,#9370db,147,112,219
mediumseagreen,#3cb371,60,179,113
mediumslateblue,#7b68ee,123,104,238
mediumspringgreen,#00fa9a,0,250,154
mediumturquoise,#48d1cc,72,209,204
mediumvioletred,#c71585,199,21,133
melon,#ff7855,255,120,85
merlot,#730039,115,0,57
metallic blue,#4f738e,79,115,142
mid blue,#276ab3,39,106,179
mid green,#50a747,80,167,71
midnight,#03012d,3,1,45
midnight blue,#020035,2,0,53
midnight purple,#280137,40,1,55
midnightblue,#191970,25,25,112
military green,#667c3e,102,124,62
milk chocolate,#7f4e1e,127,78,30
mint,#9ffeb0,159,254,176
mint green,#8fff9f,143,255,159
mintcream,#f5fffa,245,255,250
minty green,#0bf77d,11,247,125
mistyrose,#ffe4e1,255,228,225
moccasin,#ffe4b5,255,228,181
mocha,#9d7651,157,118,81
moss,#769958,118,153,88
moss green,#658b38,101,139,56
mossy green,#638b27,99,139,39
mud,#735c12,115,92,18
mud brown,#60460f,96,70,15
mud green,#606602,96,102,2
muddy brown,#886806,136,104,6
muddy green,#657432,101,116,50
muddy yellow,#bfac05,191,172,5
mulberry,#920a4e,146,10,78
murky green,#6c7a0e,108,122,14
mushroom,#ba9e88,186,158,136
mustard,#ceb301,206,179,1
mustard brown,#ac7e04,172,126,4
mustard green,#a8b504,168,181,4
mustard yellow,#d2bd0a,210,189,10
muted blue,#3b719f,59,113,159
muted green,#5fa052,95,160,82
muted pink,#d1768f,209,118,143
muted purple,#805b87,128,91,135
nasty green,#70b23f,112,178,63
navajowhite,#ffdead,255,222,173
navy,#000080,0,0,128
navy blue,#001146,0,17,70
navy green,#35530a,53,83,10
neon blue,#04d9ff,4,217,255
neon green,#0cff0c,12,255,12
neon pink,#fe019a,254,1,154
neon purple,#bc13fe,188,19,254
neon red,#ff073a,255,7,58
neon yellow,#cfff04,207,255,4
nice blue,#107ab0,16,122,176
night blue,#040348,4,3,72
ocean,#017b92,1,123,146
ocean blue,#03719c,3,113,156
ocean green,#3d9973,61,153,115
ocher,#bf9b0c,191,155,12
ochre,#bf9005,191,144,5
ocre,#c69c04,198,156,4
off blue,#5684ae,86,132,174
off green,#6ba353,107,163,83
off white,#ffffe4,255,255,228
off yellow,#f1f33f,241,243,63
old pink,#c77986,199,121,134
old rose,#c87f89,200,127,137
oldlace,#fdf5e6,253,245,230
olive,#808000,128,128,0
olive brown,#645403,100,84,3
olive drab,#6f7632,111,118,50
olive green,#677a04,103,122,4
olive yellow,#c2b709,194,183,9
olivedrab,#6b8e23,107,142,35
orange,#ffa500,255,165,0
orange brown,#be6400,190,100,0
orange pink,#ff6f52,255,111,82
orange red,#fd411e,253,65,30
orange yellow,#ffad01,255,173,1
orangeish,#fd8d49,253,141,73
orangered,#ff4500,255,69,0
orangey brown,#b16002,177,96,2
orangey red,#fa4224,250,66,36
orangey yellow,#fdb915,253,185,21
orangish,#fc824a,252,130,74
orangish brown,#b25f03,178,95,3
orangish red,#f43605,244,54,5
orchid,#da70d6,218,112,214
pale,#fff9d0,255,249,208
pale aqua,#b8ffeb,184,255,235
pale blue,#d0fefe,208,254,254
pale brown,#b1916e,177,145,110
pale cyan,#b7fffa,183,255,250
pale gold,#fdde6c,253,222,108
pale green,#c7fdb5,199,253,181
pale grey,#fdfdfe,253,253,254
pale lavender,#eecffe,238,207,254
pale light green,#b1fc99,177,252,153
pale lilac,#e4cbff,228,203,255
pale lime,#befd73,190,253,115
pale lime green,#b1ff65,177,255,101
pale magenta,#d767ad,215,103,173
pale mauve,#fed0fc,254,208,252
pale olive,#b9cc81,185,204,129
pale olive green,#b1d27b,177,210,123
pale orange,#ffa756,255,167,86
pale peach,#ffe5ad,255,229,173
pale pink,#ffcfdc,255,207,220
pale purple,#b790d4,183,144,212
pale red,#d9544d,217,84,77
pale rose,#fdc1c5,253,193,197
pale salmon,#ffb19a,255,177,154
pale sky blue,#bdf6fe,189,246,254
pale teal,#82cbb2,130,203,178
pale turquoise,#a5fbd5,165,251,213
pale violet,#ceaefa,206,174,250
pale yellow,#ffff84,255,255,132
palegoldenrod,#eee8aa,238,232,170
palegreen,#98fb98,152,251,152
paleturquoise,#afeeee,175,238,238
palevioletred,#db7093,219,112,147
papayawhip,#ffefd5,255,239,213
parchment,#fefcaf,254,252,175
pastel blue,#a2bffe,162,191,254
pastel green,#b0ff9d,176,255,157
pastel orange,#ff964f,255,150,79
pastel pink,#ffbacd,255,186,205
pastel purple,#caa0ff,202,160,255
pastel red,#db5856,219,88,86
pastel yellow,#fffe71,255,254,113
pea,#a4bf20,164,191,32
pea green,#8eab12,142,171,18
pea soup,#929901,146,153,1
pea soup green,#94a617,148,166,23
peach,#ffb07c,255,176,124
peachpuff,#ffdab9,255,218,185
peachy pink,#ff9a8a,255,154,138
peacock blue,#016795,1,103,149
pear,#cbf85f,203,248,95
periwinkle,#8e82fe,142,130,254
periwinkle blue,#8f99fb,143,153,251
perrywinkle,#8f8ce7,143,140,231
peru,#cd853f,205,133,63
petrol,#005f6a,0,95,106
pig pink,#e78ea5,231,142,165
pine,#2b5d34,43,93,52
pine green,#0a481e,10,72,30
pink,#ffc0cb,255,192,203
pink purple,#db4bda,219,75,218
pink red,#f5054f,245,5,79
pink/purple,#ef1de7,239,29,231
pinkish,#d46a7e,212,106,126
pinkish brown,#b17261,177,114,97
pinkish grey,#c8aca9,200,172,169
pinkish orange,#ff724c,255,114,76
pinkish purple,#d648d7,214,72,215
pinkish red,#f10c45,241,12,69
pinkish tan,#d99b82,217,155,130
pinky,#fc86aa,252,134,170
pinky purple,#c94cbe,201,76,190
pinky red,#fc2647,252,38,71
piss yellow,#ddd618,221,214,24
pistachio,#c0fa8b,192,250,139
plum,#dda0dd,221,160,221
plum purple,#4e0550,78,5,80
poison green,#40fd14,64,253,20
poo,#8f7303,143,115,3
poo brown,#885f01,136,95,1
poop,#7f5e00,127,94,0
poop brown,#7a5901,122,89,1
poop green,#6f7c00,111,124,0
powder blue,#b1d1fc,177,209,252
powder pink,#ffb2d0,255,178,208
powderblue,#b0e0e6,176,224,230
primary blue,#0804f9,8,4,249
prussian blue,#004577,0,69,119
puce,#a57e52,165,126,82
puke,#a5a502,165,165,2
puke brown,#947706,148,119,6
puke green,#9aae07,154,174,7
puke yellow,#c2be0e,194,190,14
pumpkin,#e17701,225,119,1
pumpkin orange,#fb7d07,251,125,7
pure blue,#0203e2,2,3,226
purple,#800080,128,0,128
purple blue,#632de9,99,45,233
purple brown,#673a3f,103,58,63
purple grey,#866f85,134,111,133
purple pink,#e03fd8,224,63,216
purple red,#990147,153,1,71
purple/blue,#5d21d0,93,33,208
purple/pink,#d725de,215,37,222
